;�..Isolate;Collection.Year;Accession.number;Source;Continent;Country;Region;ptxA;ptxP;fim3;fim2;prn.allele;prn.expression;If.PRN.negative.state.event;Insertion.of.IS481.in.PRN;Western.Blot.prn.expression.NRC.Institut.Pasteur;Longitude;Latitude;Precision_loc;Dataset
1;L524;1997;SRR1958811;Safarchi et. al. (2016);Australia;AU;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;NA;NA;Country;Safarchi-2016-Journal-of-Infect
2;L462;1999;SRR1958812;Safarchi et. al. (2016);Australia;AU;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;NA;NA;Country;Safarchi-2016-Journal-of-Infect
3;L475;2000;SRR1958813;Safarchi et. al. (2016);Australia;AU;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;NA;NA;Country;Safarchi-2016-Journal-of-Infect
4;L482;2001;SRR1958814;Safarchi et. al. (2016);Australia;AU;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;NA;NA;Country;Safarchi-2016-Journal-of-Infect
5;L490;2001;SRR1958815;Safarchi et. al. (2016);Australia;AU;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;NA;NA;Country;Safarchi-2016-Journal-of-Infect
6;L1037;2008;SRR1958796;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
7;L1042;2008;SRR1958797;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
8;L1380;2008;SRR1958800;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
9;L1391;2008;SRR1958801;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
10;L1214;2009;SRR1958808;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
11;L1216;2009;SRR1958816;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
12;L1361;2009;SRR1958802;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
13;L1419;2009;SRR1958817;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
14;L1376;2010;SRR1958804;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
15;L1397;2010;SRR1958805;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
16;L1421;2010;SRR1958818;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
17;L1423;2010;SRR1958819;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
18;L1493;2011;SRR1958820;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
19;L1507;2011;SRR1958821;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
20;L1756;2011;SRR1958806;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
21;L1770;2011;SRR1958807;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
22;L1661;2012;SRR1958798;Safarchi et. al. (2016);Australia;AU;New South Wales;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;151,2164539;-33,8548157;State;Safarchi-2016-Journal-of-Infect
23;L1779;2012;SRR1958809;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
24;L1780;2012;SRR1958810;Safarchi et. al. (2016);Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;Safarchi-2016-Journal-of-Infect
25;L2200;2013;SRR8652764;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
26;L2201;2013;SRR8652765;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
27;L2202;2013;SRR8652766;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
28;L2205;2013;SRR8652767;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
29;L2208;2013;SRR8652760;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
30;L2209;2013;SRR8652723;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
31;L2210;2013;SRR8652724;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;event39;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
32;L2211;2013;SRR8652763;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
33;L2212;2013;SRR8652791;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
34;L2213;2013;SRR8652771;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
35;L2214;2013;SRR8652749;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
36;L2215;2013;SRR8652750;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
37;L2217;2013;SRR8652752;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
38;L2218;2013;SRR8652753;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
39;L2219;2013;SRR8652754;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
40;L2220;2013;SRR8652755;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
41;L2221;2013;SRR8652792;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
42;L2222;2013;SRR8652793;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
43;L2223;2013;SRR8652794;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
44;L2224;2013;SRR8652786;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
45;L2225;2013;SRR8652785;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
46;L2226;2013;SRR8652788;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
47;L2228;2013;SRR8652782;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
48;L2229;2013;SRR8652781;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
49;L2230;2013;SRR8652784;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
50;L2216;2014;SRR8652751;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
51;L2227;2014;SRR8652787;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
52;L2231;2014;SRR8652783;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
53;L2232;2014;SRR8652778;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
54;L2233;2014;SRR8652777;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
55;L2234;2014;SRR8652747;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event10;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
56;L2235;2014;SRR8652748;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
57;L2236;2014;SRR8652745;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
58;L2245;2014;SRR8652718;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
59;L2246;2014;SRR8652795;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
60;L2247;2014;SRR8652761;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
61;L2248;2014;SRR8652772;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
62;L2249;2014;SRR8652768;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
63;L2250;2014;SRR8652762;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
64;L2252;2014;SRR8652776;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
65;L2254;2014;SRR8652737;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
66;L2240;2015;SRR8652741;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
67;L2241;2015;SRR8652742;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
68;L2244;2015;SRR8652757;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
69;L2251;2015;SRR8652759;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
70;L2253;2015;SRR8652775;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
71;L2255;2015;SRR8652738;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
72;L2256;2015;SRR8652789;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
73;L2257;2015;SRR8652756;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
74;L2258;2015;SRR8652733;NCBI - University of New South Wales;Australia;AU;Western Australia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;115,8604796;-31,9527121;State;NCBI (University of New South Wales
